rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,泉门安保部队首席-ECHO,提督,1453,泉皇,49
2,1298744,めいじゃ_,提督,1270,泉皇,48
3,30571987,穆宝321321,提督,814,泉皇,41
4,3546826321955597,柒月の微风,提督,20,泉皇,31
5,289245492,UShineee,提督,2,泉皇,30
6,3546726499617347,想睡多一会就一会儿,提督,20,泉皇,30
7,26537263,账号已注销,舰长,180,泉皇,47
8,32826022,柒玖さん,舰长,700,泉皇,43
9,13281308,Andersener,舰长,562,泉皇,37
10,1844901,INH桑,舰长,523,泉皇,36
11,15315886,白尘-咒凋,舰长,539,泉皇,35
12,524308871,泉门研究所King博士,舰长,210,泉皇,35
13,187213,我的现任同居小男友,舰长,1224,泉皇,35
14,26117826,F常胜,舰长,984,泉皇,35
15,50297468,jklasd12,舰长,212,泉皇,34
16,20755725,夏卓风,舰长,488,泉皇,34
17,513458866,Echo回声___,舰长,730,泉皇,34
18,1590686072,o0O彼岸O0o,舰长,1252,泉皇,34
19,241407928,葉月-Hatsuki0421,舰长,1154,泉皇,34
20,8432843,大交叉-official,舰长,696,泉皇,34
21,493738704,给傻子上舰,舰长,707,泉皇,34
22,38002734,我是个憨憨呢,舰长,849,泉皇,33
23,3546711928604807,好饭丿,舰长,441,泉皇,33
24,37292690,龙狐狐风夨,舰长,245,泉皇,33
25,3546643745999458,朽川_木,舰长,332,泉皇,33
26,23053482,祖皇临古今,舰长,747,泉皇,33
27,295541604,樱井小汐,舰长,650,泉皇,33
28,3546645272725664,伊娜1na,舰长,859,泉皇,33
29,3993827,托兰格海德_Official,舰长,380,泉皇,32
30,1315517967,YoM0Y,舰长,586,泉皇,32
31,2129094116,南鹿依山,舰长,319,泉皇,31
32,413457324,雨宮Hotaru,舰长,389,泉皇,31
33,337891,love小唧love,舰长,440,泉皇,31
34,660286260,欣曦SinCe,舰长,362,泉皇,31
35,3546850317568605,哎呦我天_ber,舰长,110,泉皇,30
36,16120966,洛伊德LloydTT,舰长,348,泉皇,30
37,290141205,大凤suki,舰长,342,泉皇,30
38,595489,polikc,舰长,234,泉皇,30
39,224518493,揽月映星河,舰长,285,泉皇,30
40,43657743,好想再睡多一会,舰长,171,泉皇,30
41,8167154,炉石酒馆丶米乐,舰长,290,泉皇,30
42,499046659,睡得头都掉了,舰长,198,泉皇,30
43,10094351,愿慈父祝福你,舰长,209,泉皇,29
44,275407447,心缘执念,舰长,97,泉皇,29
45,1494437256,荼蘼kiti,舰长,258,泉皇,29
46,11451824,东躲西藏的暮暮,舰长,242,泉皇,29
47,43211028,千千千千心,舰长,218,泉皇,29
48,302649087,非洲友好人民,舰长,160,泉皇,29
49,39481625,wk哇咔咔wkk,舰长,203,泉皇,29
50,3546753582238535,暮色Knight,舰长,248,泉皇,29
51,31473700,扛-_-住,舰长,194,泉皇,28
52,593580552,robin-魏,舰长,187,泉皇,28
53,182614014,雪落椛间,舰长,204,泉皇,28
54,1322628,火花-喵,舰长,178,泉皇,28
55,2021813,憨咸玉,舰长,227,泉皇,28
56,12124589,雷伊LT,舰长,210,泉皇,28
57,23613722,Matarah_Okina,舰长,170,泉皇,28
58,3546628818471872,贪食魔虫,舰长,160,泉皇,28
59,35964746,爱贴贴的QQ馨,舰长,139,泉皇,28
60,3546968678730055,ECHOArknight,舰长,158,泉皇,28
61,356790143,阿乐u,舰长,96,泉皇,28
62,526513701,七只猫猫bs,舰长,48,泉皇,27
63,310365520,一般路过幽魂,舰长,121,泉皇,27
64,21212037,暮碎丷,舰长,120,泉皇,27
65,2419853,梦竹official,舰长,80,泉皇,27
66,295026598,加里奥把我补了升六,舰长,65,泉皇,27
67,1274097950,不为所动喵大人,舰长,97,泉皇,26
68,34362883,三年E班锋,舰长,110,泉皇,26
69,1454109228,Sirius_ash,舰长,98,泉皇,26
70,13114479,杰里米斯,舰长,109,泉皇,26
71,3546381899794609,cloud丿守护,舰长,78,泉皇,26
72,90102959,村上阿白,舰长,77,泉皇,26
73,27693476,流舟道人,舰长,79,泉皇,26
74,224658115,芥子禹,舰长,16,泉皇,26
75,400151955,噬悟道衍姻缘,舰长,35,泉皇,26
76,155887460,仙鹤泽鋆隐居士,舰长,76,泉皇,26
77,37895504,在下版本一号,舰长,97,泉皇,26
78,424241873,我是咋昂,舰长,80,泉皇,26
79,11511785,狂三三叁叁,舰长,46,泉皇,25
80,331343,chxihao,舰长,57,泉皇,25
81,115789,四绪风,舰长,62,泉皇,25
82,24453976,被称为老年人的kaler,舰长,83,泉皇,25
83,404316695,T5ugawa,舰长,57,泉皇,25
84,3493115700709615,猫羽雫502,舰长,80,泉皇,25
85,5374741,ヒマワリの約束,舰长,78,泉皇,25
86,17295270,茸梦散,舰长,42,泉皇,25
87,7578843,绝世冷酷幽少爷,舰长,108,泉皇,25
88,8179383,DPSDelta_AL,舰长,109,泉皇,25
89,481179441,缘起一生彼岸花,舰长,78,泉皇,25
90,268642,迷途终点站,舰长,46,泉皇,25
91,132159,寒冰零,舰长,67,泉皇,25
92,1487916721,平仄y,舰长,48,泉皇,25
93,344882,依姬,舰长,16,泉皇,25
94,433990488,添柴雨汐,舰长,77,泉皇,25
95,2974256,茶色晚轩,舰长,77,泉皇,25
96,88176807,冬抖抖,舰长,46,泉皇,25
97,22693427,冰雪千年,舰长,72,泉皇,25
98,473998637,小宸小晨和小辰,舰长,20,泉皇,25
99,7179493,生活的魔术师,舰长,47,泉皇,25
100,525054480,迎风の葵,舰长,48,泉皇,25
101,151345722,蓦轩zzz,舰长,2,泉皇,24
102,1881749,汐織Nicola,舰长,18,泉皇,24
103,22955787,姑苏云开,舰长,42,泉皇,24
104,9481765,温暖裙宝,舰长,37,泉皇,24
105,21641934,伊東です,舰长,78,泉皇,24
106,493937647,白子翎羽,舰长,60,泉皇,24
107,29220173,艾芙妮尔丶,舰长,48,泉皇,24
108,11552545,手塚治虫,舰长,20,泉皇,24
109,620155362,贝拉拉不拉拉布拉多,舰长,46,泉皇,24
110,406210416,万枪归一,舰长,16,泉皇,24
111,1122584699,修狗修猫修鲸鱼,舰长,16,泉皇,24
112,14885493,癫意嗔情,舰长,16,泉皇,24
113,7743649,lsqgame,舰长,16,泉皇,24
114,18052671,凑凑凑凑凑凑凑凑,舰长,37,泉皇,24
115,87966527,硅氧SIO,舰长,49,泉皇,24
116,13055006,狸狸里里李,舰长,34,泉皇,24
117,35556346,凶介u149mltdp,舰长,34,泉皇,24
118,11089765,灼眼の蒙古肥仔,舰长,37,泉皇,24
119,34943106,-大-列-巴-,舰长,50,泉皇,24
120,421332385,忆雨人思绘,舰长,16,泉皇,24
121,16126329,秋丶残叶,舰长,50,泉皇,24
122,53597907,死歌OvO,舰长,50,泉皇,23
123,11671746,゙墨杨,舰长,42,泉皇,23
124,3546750381984689,水御龙,舰长,52,泉皇,23
125,349557317,黎艾i,舰长,45,泉皇,23
126,441120135,苏咲月,舰长,44,泉皇,23
127,3546612798327243,不知道该叫123,舰长,50,泉皇,23
128,271300829,平平无奇的阿博,舰长,37,泉皇,23
129,127015,篠霧辰実,舰长,39,泉皇,23
130,283417602,-srh--,舰长,7,泉皇,23
131,291140286,泡茶阿南,舰长,49,泉皇,23
132,50988225,-_-小埋,舰长,35,泉皇,23
133,378889020,-漠云-,舰长,20,泉皇,23
134,449563480,-该用户已被禁言-,舰长,18,泉皇,23
135,354929962,秋影留白,舰长,20,泉皇,23
136,499090358,陨狱,舰长,16,泉皇,23
137,66834181,听风与我说与你,舰长,52,泉皇,23
138,8644230,-落习习-,舰长,16,泉皇,23
139,26103342,-虚骛-,舰长,20,泉皇,23
140,44978083,总之就是喜欢-,舰长,16,泉皇,23
141,1278628833,红色的硫氰化铁,舰长,16,泉皇,23
142,308860057,水竹飞蚊,舰长,16,泉皇,23
143,482077336,安格玛巫王_,舰长,16,泉皇,23
144,493895182,达纳萨玛621,舰长,16,泉皇,23
145,300309956,千帆过尽__,舰长,16,泉皇,23
146,22262802,勇者zero,舰长,16,泉皇,23
147,3632317486598264,一十一彡然,舰长,16,泉皇,23
148,3159734,我是阿夸,舰长,16,泉皇,23
149,18734423,御神丶村雨,舰长,16,泉皇,23
150,1087971284,一只迷路小幽灵,舰长,16,泉皇,23
151,551070041,涼城暮雨,舰长,16,泉皇,22
152,477994920,祈雪霁,舰长,16,泉皇,22
153,3537106141972680,you开心点好吗,舰长,16,泉皇,22
154,55301683,贵物多忘事,舰长,16,泉皇,22
155,1715758,_伊吹_,舰长,16,泉皇,22
156,4408800,蕾尔蒂卐芙萝达,舰长,14,泉皇,22
157,306324409,黎明之寂・万物之声,舰长,20,泉皇,22
158,13412245,别忘了疯狂星期四的汤,舰长,9,泉皇,22
159,35666442,太卡了总是掉线,舰长,17,泉皇,22
160,6176907,azuresword,舰长,20,泉皇,22
161,513003856,Kano爱吃芒果,舰长,17,泉皇,22
162,592794788,゚小二,舰长,7,泉皇,22
163,15493985,岑寂渡羽,舰长,17,泉皇,22
164,35353717,Masterworks,舰长,7,泉皇,22
165,109354972,蘸酱红烧肉,舰长,20,泉皇,22
166,406021738,白圭Baigui,舰长,19,泉皇,22
167,415771168,雨银闪电,舰长,20,泉皇,22
168,487418598,Kyoushinskadi,舰长,19,泉皇,22
169,8186594,白面鸮面白,舰长,20,泉皇,22
170,25266344,超级无敌虾酱大王sana,舰长,18,泉皇,22
171,88236299,迷万人,舰长,18,泉皇,22
172,2677529,南雀23,舰长,28,泉皇,22
173,171485924,gxfcg,舰长,19,泉皇,22
174,512879594,时畸张三,舰长,14,泉皇,22
175,5510679,瑶琁,舰长,13,泉皇,22
176,83052,湮灭结束,舰长,19,泉皇,22
177,11819422,无明无字无名,舰长,15,泉皇,22
178,34626529,堤丰TY-PHON,舰长,12,泉皇,22
179,3493135653013760,李孓子,舰长,4,泉皇,22
180,33196335,活浪逐星,舰长,13,泉皇,22
181,3546652788918822,直犬君丶,舰长,19,泉皇,22
182,651858252,夜方硕,舰长,15,泉皇,22
183,765419,光辉级航空母舰,舰长,7,泉皇,22
184,441570509,角闪石,舰长,4,泉皇,22
185,34912101,凌時雨灬,舰长,26,泉皇,22
186,356820314,jsjssha,舰长,4,泉皇,22
187,35843661,光与他的影子恋人,舰长,12,泉皇,22
188,2040998124,柯瓦特罗大饼,舰长,12,泉皇,22
189,1591974742,啊不想上班想睡觉,舰长,12,泉皇,22
190,9082125,麻仓真央酱,舰长,17,泉皇,22
191,4097359,天涯一大白,舰长,14,泉皇,22
192,100837729,玄不改非-氪不改掵,舰长,14,泉皇,22
193,12721074,忧伤的蓝鲸,舰长,20,泉皇,22
194,1904339524,鲜教练不急,舰长,13,泉皇,22
195,34188791,frysta,舰长,20,泉皇,22
196,293115795,朝暮日月,舰长,19,泉皇,21
197,150449946,皓皓皓皓皓恒,舰长,19,泉皇,21
198,642962469,青_杧,舰长,19,泉皇,21
199,537661,卷大人,舰长,12,泉皇,21
200,261150723,a-u-f-e-i,舰长,13,泉皇,21
201,386402405,龙七解忧铺,舰长,8,泉皇,21
202,455740176,Sad-Machine悲伤机器,舰长,4,泉皇,21
203,485207072,理鸭的小小号,舰长,12,泉皇,21
204,5220070,猫耳红白,舰长,18,泉皇,21
205,3690989742983951,一头小飞区,舰长,22,泉皇,21
206,13654852,-白昼儿-,舰长,20,泉皇,21
207,18934957,不靠谱男性,舰长,18,泉皇,21
208,40943053,我就是嫑脸,舰长,20,泉皇,21
209,397173881,松毛狗狗,舰长,14,泉皇,21
210,244532294,烛霞枫霜染天,舰长,14,泉皇,21
211,485870558,爵爷源,舰长,22,泉皇,21
212,83901803,青竹红颜,舰长,19,泉皇,21
213,3546979911076629,忆惜離別,舰长,29,泉皇,21
214,35096214,无厘头小米,舰长,18,泉皇,21
215,178720162,芙瞳FuTong,舰长,22,泉皇,21
216,673769441,POIGST,舰长,12,泉皇,21
217,99715309,光明彷徨者,舰长,14,泉皇,21
218,89323600,Muu沭木木,舰长,14,泉皇,21
219,70740837,CLK慕,舰长,20,泉皇,21
220,138853799,半山角,舰长,27,泉皇,21
221,1977647674,苏苏酥酥SUU,舰长,19,泉皇,21
222,228101317,初洛明炎,舰长,12,泉皇,21
223,1944168,幻灭之梦,舰长,1,泉皇,21
224,13615587,Lin丶寒夜,舰长,17,泉皇,21
225,171458441,抛硬币总是输,舰长,17,泉皇,21
226,383148522,六六专属打call机,舰长,7,泉皇,21
227,1413773414,猹哆芬,舰长,18,泉皇,21
228,6985238,自我概念崩坏,舰长,19,泉皇,21
229,19938260,已经快成为废人的东劫,舰长,17,泉皇,21
230,32355018,大山雀O4,舰长,5,泉皇,21
231,692415785,新雨天时,舰长,12,泉皇,21
232,24912201,溜达的龙小天,舰长,20,泉皇,21
233,5028106,CLAMorz,舰长,19,泉皇,21
234,319241,星幽メ,舰长,12,泉皇,21
235,65595957,侑与步梦,舰长,20,泉皇,21
236,225531669,看到我请叫我拱去睡觉,舰长,18,泉皇,21
237,381849217,古月雨-,舰长,18,泉皇,21
238,38635166,AsaNo゚,舰长,20,泉皇,21
239,321793206,小さい司,舰长,19,泉皇,21
240,153358828,天地帰墟,舰长,19,泉皇,21
241,3493145020992250,牧棠枫叶,舰长,17,泉皇,21
242,7405806,总之是筱茗,舰长,7,泉皇,21
243,470280248,艾露dayo,舰长,7,泉皇,21
244,524368736,雁鸢,舰长,28,泉皇,21
245,380950160,向尘11,舰长,20,泉皇,21
246,3493083970799913,-月下入梦--,舰长,7,泉皇,21
247,1899442986,莉莉娅ol,舰长,7,泉皇,21
248,516555927,fhljgwc,舰长,20,泉皇,21
249,442505936,龙啊吞噬吧,舰长,20,泉皇,21
250,38634661,嵐璐璐,舰长,7,泉皇,21
251,14420526,弥月家的野生鸟厨,舰长,19,泉皇,21
252,6920604,Ezzq,舰长,20,泉皇,21
253,448208661,星15554,舰长,20,泉皇,21
254,2048989,爱饕餮,舰长,12,泉皇,21
255,5061100,是晨星不是星辰,舰长,12,泉皇,21
256,34270585,虚无澪,舰长,17,泉皇,21
257,440826423,24岁_是年少,舰长,5,泉皇,21
258,1287850224,无醉在睡觉,舰长,8,泉皇,21
259,100671435,Jaaacky-_-,舰长,20,泉皇,21
260,27033539,下次也咕,舰长,20,泉皇,21
261,37259726,小源的日常-,舰长,19,泉皇,21
262,3707010021329128,151速的地龙,舰长,9,泉皇,21
263,3435118,於狱洛,舰长,8,泉皇,21
264,66852205,月丿殇,舰长,20,泉皇,21
265,351185024,懒懒嘟小星游,舰长,20,泉皇,21
266,336824013,七以泠,舰长,18,泉皇,21
267,2014594,永恒恋曲之殇,舰长,12,泉皇,21
268,4624883,Kakera欠片,舰长,17,泉皇,21
269,3546373309859864,潮汐临起,舰长,18,泉皇,21
270,623418510,听雨旧言,舰长,19,泉皇,21
271,14423750,たったそれだけの物語,舰长,12,泉皇,21
272,544964497,长草某贞,舰长,14,泉皇,21
273,33204381,十年前的a4纸,舰长,22,泉皇,21
274,30968749,冰泠ling,舰长,7,泉皇,21
275,12982119,扭曲debu,舰长,18,泉皇,21
276,327610957,米斯特考恩,舰长,5,泉皇,21
277,479665369,芦叶满汀州666,舰长,7,泉皇,21
278,35353876,gc若涵,舰长,12,泉皇,21
279,20903990,Still_In_Love,舰长,9,泉皇,21
280,37815945,夜离_Official,舰长,17,泉皇,21
281,8937039,中国_移不动,舰长,11,泉皇,21
282,20732755,Mikurois,舰长,18,泉皇,21
283,162947151,晴川泠雅,舰长,7,泉皇,21
284,286479305,夜雨声烦Alter,舰长,15,泉皇,21
285,22663378,醋渍柠檬罐子,舰长,18,泉皇,21
286,176540870,雨倾水鱼墨,舰长,12,泉皇,21
287,396999993,阡陌忆凉,舰长,18,泉皇,21
288,85581578,丿紫灬龙,舰长,2,泉皇,21
289,5514897,黎夜竹有些犯困,舰长,4,泉皇,21
290,364805714,烙弓,舰长,15,泉皇,21
291,344779092,ブブ様の耳,舰长,15,泉皇,21
292,1316931423,三界之内任独行,舰长,9,泉皇,21
293,443071916,T1-Faker이상혁,舰长,7,泉皇,21
294,2119482974,老毛老至猫,舰长,12,泉皇,21
295,11360493,宇文断空,舰长,18,泉皇,21
296,34639269,Sam-_-_-,舰长,12,泉皇,21
297,325941793,昵称已不再了,舰长,20,泉皇,21
298,17409193,笨蛋毛绒绒,舰长,7,泉皇,21
299,812116,布鲁斯阿脱,舰长,9,泉皇,21
300,6358457,泠角仙,舰长,18,泉皇,21
301,453426992,勤奋的小呆瓜,舰长,7,泉皇,21
302,396895111,新奥尔良藻堂扛把子,舰长,13,泉皇,21
303,1155470657,sai_6x,舰长,18,泉皇,21
304,70158476,灰色的风景,舰长,7,泉皇,21
305,1844265075,改昵称消耗鎏个硬币,舰长,18,泉皇,21
306,352086664,糊涂可爱的雪风酱,舰长,14,泉皇,21
307,325288,喵村伊澄,舰长,5,泉皇,21
308,168213564,不问无理,舰长,12,泉皇,21
309,82619089,隱-小白豬,舰长,4,泉皇,21
310,8033785,雪中的智代,舰长,19,泉皇,21
311,1379091481,白学家满月,舰长,18,泉皇,21
312,10685186,是步川伊芙芙呜,舰长,6,泉皇,21
313,8531172,疯狂多米粽,舰长,9,泉皇,21
314,7281069,葱油饼加蛋多刷甜酱,舰长,12,泉皇,21
315,641355,椛心咚,舰长,27,泉皇,21
316,514563256,吟游伊利斯,舰长,12,泉皇,21
317,499073311,北望舒辰,舰长,1,泉皇,21
318,437494708,ZTZ-99-,舰长,14,泉皇,21
319,431760235,铜卦,舰长,13,泉皇,21
320,35234693,把握未来之棍,舰长,12,泉皇,21
321,218040015,降温_VAE,舰长,4,泉皇,21
322,15872721,悲の夜,舰长,14,泉皇,21
323,1577417853,瑰璴,舰长,2,泉皇,21
324,1104366562,我只是一个农村入,舰长,2,泉皇,21
325,631371134,城琦垭伊,舰长,5,泉皇,21
326,8806679,秋月の墨麟,舰长,9,泉皇,21
327,650640314,神乡慎,舰长,7,泉皇,21
328,628616940,祤祤丶祤祤,舰长,13,泉皇,21
329,3494373796874894,椰夜_,舰长,5,泉皇,21
330,34876764,夜晨曦丶,舰长,18,泉皇,21
331,201723408,碭易水,舰长,3,泉皇,21
332,1976055046,-终末,舰长,18,泉皇,21
333,155863969,狂炫三碗米,舰长,3,泉皇,21
334,7789497,迷途的萌新,舰长,18,泉皇,21
335,671650255,生一草,舰长,9,泉皇,21
336,45482211,不知道JO什么名字,舰长,8,泉皇,21
337,451095167,淡颜系辣妹,舰长,12,泉皇,21
338,3996051,晓出,舰长,5,泉皇,21
339,351954767,雨仙霙,舰长,7,泉皇,21
340,34266160,吃不胖的霜星,舰长,4,泉皇,21
341,33517673,汐时月见倥,舰长,15,泉皇,21
342,28571797,喜天欲雨,舰长,13,泉皇,21
343,22956044,星斗流云,舰长,12,泉皇,21
344,22654240,白次蓝,舰长,1,泉皇,21
345,1942437149,Zendria,舰长,3,泉皇,21
346,177169830,执星绘世,舰长,13,泉皇,21
347,15183991,嘶哈哈哈哈,舰长,17,泉皇,21
348,1514437,淡药,舰长,17,泉皇,21
349,13771038,米诺ミ,舰长,20,泉皇,21
350,12517886,A橘長,舰长,19,泉皇,21
351,108114579,鸽形目鸠鸽科,舰长,12,泉皇,21
