rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,自动化苞米ATM-E形,提督,1430,泉皇,49
2,1298744,めいじゃ_,提督,1247,泉皇,47
3,1701888744,浅墨琉璃w,提督,135,泉皇,33
4,26537263,账号已注销,舰长,157,泉皇,47
5,32826022,柒玖さん,舰长,677,泉皇,43
6,30571987,穆宝321321,舰长,796,泉皇,41
7,13281308,Andersener,舰长,539,泉皇,37
8,15315886,白尘-咒凋,舰长,516,泉皇,35
9,524308871,泉门单推KING,舰长,187,泉皇,35
10,187213,我的现任同居小男友,舰长,1201,泉皇,35
11,26117826,F常胜,舰长,961,泉皇,34
12,50297468,jklasd12,舰长,189,泉皇,34
13,20755725,夏卓风,舰长,465,泉皇,34
14,1590686072,o0O彼岸O0o,舰长,1229,泉皇,34
15,513458866,Echo回声___,舰长,707,泉皇,34
16,241407928,葉月-Hatsuki0421,舰长,1131,泉皇,34
17,8432843,大交叉-official,舰长,673,泉皇,34
18,493738704,给傻子上舰,舰长,684,泉皇,34
19,38002734,我是个憨憨呢,舰长,826,泉皇,33
20,3546711928604807,请您吃拼好饭,舰长,418,泉皇,33
21,37292690,龙狐狐风夨,舰长,222,泉皇,33
22,23053482,祖皇临古今,舰长,724,泉皇,33
23,3546645272725664,伊娜1na,舰长,836,泉皇,32
24,296301043,穹尽亿世,舰长,326,泉皇,32
25,1315517967,YoM0Y,舰长,563,泉皇,32
26,413457324,雨宮Hotaru,舰长,366,泉皇,31
27,660286260,欣曦SinCe,舰长,339,泉皇,30
28,290141205,大凤suki,舰长,319,泉皇,30
29,16120966,洛伊德LloydTT,舰长,325,泉皇,30
30,3546850317568605,哎呦我天_ber,舰长,88,泉皇,30
31,595489,polikc,舰长,211,泉皇,30
32,10094351,愿慈父祝福你,舰长,186,泉皇,29
33,224518493,揽月映星河,舰长,262,泉皇,29
34,43657743,好想再睡多一会,舰长,148,泉皇,29
35,499046659,睡得头都掉了,舰长,175,泉皇,29
36,182614014,雪落椛间,舰长,181,泉皇,28
37,1322628,火花-喵,舰长,155,泉皇,28
38,12124589,雷伊LT,舰长,187,泉皇,28
39,11451824,东躲西藏的暮暮,舰长,219,泉皇,28
