rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,自动化苞米ATM-E形,提督,1433,泉皇,49
2,1298744,めいじゃ_,提督,1250,泉皇,47
3,1701888744,浅墨琉璃w,提督,138,泉皇,33
4,26537263,账号已注销,舰长,160,泉皇,47
5,32826022,柒玖さん,舰长,680,泉皇,43
6,13281308,Andersener,舰长,542,泉皇,37
7,15315886,白尘-咒凋,舰长,519,泉皇,35
8,524308871,泉门单推KING,舰长,190,泉皇,35
9,187213,我的现任同居小男友,舰长,1204,泉皇,35
10,26117826,F常胜,舰长,964,泉皇,34
11,50297468,jklasd12,舰长,192,泉皇,34
12,1590686072,o0O彼岸O0o,舰长,1232,泉皇,34
13,20755725,夏卓风,舰长,468,泉皇,34
14,513458866,Echo回声___,舰长,710,泉皇,34
15,241407928,葉月-Hatsuki0421,舰长,1134,泉皇,34
16,8432843,大交叉-official,舰长,676,泉皇,34
17,493738704,给傻子上舰,舰长,687,泉皇,34
18,3546711928604807,请您吃拼好饭,舰长,421,泉皇,33
19,38002734,我是个憨憨呢,舰长,829,泉皇,33
20,37292690,龙狐狐风夨,舰长,225,泉皇,33
21,23053482,祖皇临古今,舰长,727,泉皇,33
22,3546645272725664,伊娜1na,舰长,839,泉皇,32
23,296301043,穹尽亿世,舰长,329,泉皇,32
24,1315517967,YoM0Y,舰长,566,泉皇,32
25,413457324,雨宮Hotaru,舰长,369,泉皇,31
26,660286260,欣曦SinCe,舰长,342,泉皇,30
27,290141205,大凤suki,舰长,322,泉皇,30
28,16120966,洛伊德LloydTT,舰长,328,泉皇,30
29,3546850317568605,哎呦我天_ber,舰长,91,泉皇,30
30,595489,polikc,舰长,214,泉皇,30
31,43657743,好想再睡多一会,舰长,151,泉皇,30
32,10094351,愿慈父祝福你,舰长,189,泉皇,29
33,224518493,揽月映星河,舰长,265,泉皇,29
34,499046659,睡得头都掉了,舰长,178,泉皇,29
35,39481625,wk哇咔咔wkk,舰长,183,泉皇,29
36,182614014,雪落椛间,舰长,184,泉皇,28
37,1322628,火花-喵,舰长,158,泉皇,28
38,12124589,雷伊LT,舰长,190,泉皇,28
39,11451824,东躲西藏的暮暮,舰长,222,泉皇,28
40,36309448,最近有点无聊,舰长,88,泉皇,28
41,302649087,非洲友好人民,舰长,140,泉皇,28
42,50110410,熊桑阿,舰长,170,泉皇,28
43,43211028,千千千千心,舰长,198,泉皇,28
44,31473700,扛-_-住,舰长,174,泉皇,28
45,593580552,robin-魏,舰长,167,泉皇,28
46,3546628818471872,贪食魔虫,舰长,140,泉皇,27
47,21212037,暮碎丷,舰长,100,泉皇,27
48,796427,Ch1kka,舰长,206,泉皇,27
49,526513701,七只猫猫bs,舰长,29,泉皇,26
50,295026598,加里奥把我补了升六,舰长,45,泉皇,26
51,331343,chxihao,舰长,37,泉皇,25
52,404316695,T5ugawa,舰长,37,泉皇,25
53,27693476,流舟道人,舰长,59,泉皇,25
54,37895504,在下版本一号,舰长,77,泉皇,25
55,12467608,伯邑烤肉,舰长,31,泉皇,24
56,493937647,白子翎羽,舰长,40,泉皇,24
57,1992783755,李田锁浩二,舰长,47,泉皇,24
58,9042658,灰灰爱吃牛肉饼OwO,舰长,55,泉皇,24
59,132159,寒冰零,舰长,47,泉皇,24
60,481179441,缘起一生彼岸花,舰长,58,泉皇,24
61,3546750381984689,水御龙,舰长,32,泉皇,23
62,22693427,冰雪千年,舰长,52,泉皇,23
63,5340772,星火燎原中猫,舰长,47,泉皇,23
64,433990488,添柴雨汐,舰长,57,泉皇,23
65,1880079,上海豚侠,舰长,47,泉皇,23
66,66834181,听风与我说与你,舰长,32,泉皇,23
67,268642,迷途终点站,舰长,26,泉皇,23
68,29220173,艾芙妮尔丶,舰长,28,泉皇,22
69,81215669,刚刚灵基完成的信长,舰长,24,泉皇,22
70,45543695,刺猬机,舰长,30,泉皇,22
71,2677529,南雀23,舰长,8,泉皇,22
72,1487611552,Sp4rkAA,舰长,23,泉皇,22
73,102536597,妮可船长,舰长,25,泉皇,22
74,12092732,OtisDisappear,舰长,15,泉皇,22
75,3706978012498595,小银ssss,舰长,22,泉皇,22
76,34912101,凌時雨灬,舰长,6,泉皇,22
77,1005031110,诗人去留,舰长,18,泉皇,22
78,620155362,贝拉拉不拉拉布拉多,舰长,26,泉皇,22
79,18052671,凑凑凑凑凑凑凑凑,舰长,25,泉皇,22
80,35556346,凶介u149mltdp,舰长,21,泉皇,21
81,1435039242,神樱黒手,舰长,22,泉皇,21
82,97510499,切梨梨梨,舰长,24,泉皇,21
83,3690989742983951,一头小飞区,舰长,2,泉皇,21
84,1884319243,月下獨酌客,舰长,17,泉皇,21
85,2704677,sum股份,舰长,27,泉皇,21
86,359520613,岚鹤lanhee,舰长,12,泉皇,21
87,8391936,緣のRing,舰长,25,泉皇,21
88,1905626964,身宗宗主墨青,舰长,16,泉皇,21
89,325886620,18556780,舰长,15,泉皇,21
90,441107,冰丝s,舰长,27,泉皇,21
91,524368736,雁鸢,舰长,8,泉皇,21
92,3546979911076629,忆惜離別,舰长,9,泉皇,21
93,454433025,塔达林的白咕咕,舰长,18,泉皇,21
94,485870558,爵爷源,舰长,2,泉皇,21
95,180631491,国产玻璃GLASS,舰长,13,泉皇,21
96,178720162,芙瞳FuTong,舰长,2,泉皇,21
97,34660261,終夜交响曲,舰长,15,泉皇,21
98,33204381,十年前的a4纸,舰长,2,泉皇,21
99,138853799,半山角,舰长,7,泉皇,21
100,641355,椛心咚,舰长,7,泉皇,21
101,50263289,阿蕉いちご,舰长,26,泉皇,21
102,2483308,海涵潇雨,舰长,23,泉皇,21
103,2355140,升温啦注意散热哦,舰长,26,泉皇,21
