rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,自动化苞米ATM-E形,提督,1418,泉皇,49
2,1298744,めいじゃ_,提督,1235,泉皇,47
3,1701888744,浅墨琉璃w,提督,123,泉皇,33
4,26537263,账号已注销,舰长,145,泉皇,47
5,32826022,柒玖さん,舰长,665,泉皇,43
6,30571987,穆宝321321,舰长,784,泉皇,41
7,13281308,Andersener,舰长,527,泉皇,37
8,15315886,白尘-咒凋,舰长,504,泉皇,35
9,524308871,泉门单推KING,舰长,175,泉皇,35
10,187213,我的现任同居小男友,舰长,1189,泉皇,35
11,26117826,F常胜,舰长,949,泉皇,34
12,50297468,jklasd12,舰长,177,泉皇,34
13,21930032,Mochizki,舰长,1370,泉皇,34
14,20755725,夏卓风,舰长,453,泉皇,34
15,1590686072,o0O彼岸O0o,舰长,1217,泉皇,34
16,513458866,Echo回声___,舰长,695,泉皇,34
17,241407928,葉月-Hatsuki0421,舰长,1119,泉皇,34
18,8432843,大交叉-official,舰长,661,泉皇,34
19,493738704,贰时live,舰长,672,泉皇,34
20,38002734,我是个憨憨呢,舰长,814,泉皇,33
21,3546711928604807,请您吃拼好饭,舰长,406,泉皇,33
22,37292690,龙狐狐风夨,舰长,210,泉皇,33
23,23053482,祖皇临古今,舰长,712,泉皇,33
24,3546645272725664,伊娜1na,舰长,824,泉皇,32
25,296301043,穹尽亿世,舰长,314,泉皇,32
26,1315517967,YoM0Y,舰长,551,泉皇,31
27,413457324,雨宮Hotaru,舰长,354,泉皇,31
28,660286260,欣曦SinCe,舰长,327,泉皇,30
29,4701207,昏睡若叶筷,舰长,293,泉皇,30
30,290141205,大凤suki,舰长,307,泉皇,30
31,166697233,天使念经,舰长,150,泉皇,30
32,16120966,洛伊德LloydTT,舰长,313,泉皇,30
33,3546850317568605,哎呦我天_ber,舰长,76,泉皇,30
34,595489,polikc,舰长,199,泉皇,29
35,224518493,揽月映星河,舰长,250,泉皇,29
36,43657743,好想再睡多一会,舰长,136,泉皇,29
37,499046659,睡得头都掉了,舰长,163,泉皇,29
38,10094351,愿慈父祝福你,舰长,174,泉皇,29
39,36309448,最近有点无聊,舰长,73,泉皇,28
40,50110410,熊桑阿,舰长,155,泉皇,28
41,43211028,千千千千心,舰长,183,泉皇,28
42,39481625,wk哇咔咔wkk,舰长,168,泉皇,28
43,302649087,非洲友好人民,舰长,125,泉皇,28
44,31473700,扛-_-住,舰长,159,泉皇,28
45,182614014,雪落椛间,舰长,169,泉皇,28
46,1322628,火花-喵,舰长,143,泉皇,28
47,593580552,robin-魏,舰长,152,泉皇,28
48,12124589,雷伊LT,舰长,175,泉皇,28
49,11451824,东躲西藏的暮暮,舰长,207,泉皇,28
50,3546628818471872,贪食魔虫,舰长,125,泉皇,27
51,796427,Ch1kka,舰长,191,泉皇,27
52,21212037,暮碎丷,舰长,85,泉皇,26
53,40019362,不言君Limru,舰长,116,泉皇,26
54,27693476,流舟道人,舰长,44,泉皇,25
55,37895504,在下版本一号,舰长,62,泉皇,25
56,693886718,爱恋山田小姐,舰长,27,泉皇,24
57,3493115700709615,猫羽雫502,舰长,47,泉皇,24
58,12467608,伯邑烤肉,舰长,16,泉皇,24
59,149965741,最佳创新中土世界,舰长,60,泉皇,24
60,1992783755,李田锁浩二,舰长,32,泉皇,24
61,9042658,灰灰爱吃牛肉饼OwO,舰长,40,泉皇,24
62,481179441,缘起一生彼岸花,舰长,43,泉皇,24
63,132159,寒冰零,舰长,32,泉皇,23
64,22693427,冰雪千年,舰长,37,泉皇,23
65,5340772,星火燎原中猫,舰长,32,泉皇,23
66,526513701,七只猫猫bs,舰长,14,泉皇,23
67,433990488,添柴雨汐,舰长,42,泉皇,23
68,1880079,上海豚侠,舰长,32,泉皇,23
69,9176342,流光晚榭岂无衣,舰长,27,泉皇,23
70,32257904,全推DD,舰长,26,泉皇,22
