rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,787,泉塘,31
2,230449265,ECHO-回声-,提督,970,泉塘,31
3,32826022,柒玖さん,提督,225,泉塘,28
4,85879758,珏珏子泠雫,提督,20,泉塘,26
5,1865633553,俺果冻大亨,舰长,316,泉塘,31
6,27660357,流星Ali_画画学习中,舰长,979,泉塘,29
7,39863332,请激推吃块饼干饼,舰长,361,泉塘,28
8,30571987,穆宝321321,舰长,355,泉塘,28
9,1844901,INH桑,舰长,381,泉塘,27
10,13281308,Andersener,舰长,220,泉塘,27
11,33504517,虾籽阳春面_泉宝信徒,舰长,349,泉塘,27
12,100990414,沐竹-星间泉神教,舰长,979,泉塘,26
13,4470537,反正什么都没有_语,舰长,879,泉塘,26
14,187213,我的现任同居小男友,舰长,741,泉塘,26
15,39276653,sphingo,舰长,723,泉塘,26
16,26117826,F常胜,舰长,501,泉塘,26
17,21930032,Mochizki,舰长,922,泉塘,26
18,85396059,河豚黑听中___,舰长,271,泉塘,26
19,241407928,葉月-Hatsuki,舰长,671,泉塘,26
20,1590686072,o0O彼岸O0o,舰长,769,泉塘,26
21,493738704,给傻子上舰,舰长,224,泉塘,26
22,5379791,袖白雪qwq,舰长,53,泉塘,26
23,8432843,大交叉-official,舰长,354,泉塘,25
24,1688280199,星间泉izumi,舰长,464,泉塘,25
25,385860703,五更雪落Yuki,舰长,305,泉塘,25
26,38002734,我是个憨憨呢,舰长,366,泉塘,25
27,3546645272725664,伊娜1na,舰长,376,泉塘,25
28,44097,Lycerisious_夕,舰长,191,泉塘,25
29,224607521,粥店王老板,舰长,319,泉塘,25
30,337891,love小唧love,舰长,268,泉塘,25
31,39012888,Osax冫,舰长,117,泉塘,25
32,8167154,炉石酒馆丶米乐,舰长,202,泉塘,25
33,23053482,祖皇临古今,舰长,264,泉塘,25
34,182322636,紫色的夏,舰长,234,泉塘,24
35,295541604,樱井小汐,舰长,264,泉塘,24
36,321081893,凉城-星间泉教徒版,舰长,67,泉塘,24
37,160803875,三箱辣条压压惊,舰长,278,泉塘,24
38,1033953289,鸿儒之赋,舰长,229,泉塘,24
39,7220745,Juicefff,舰长,165,泉塘,24
40,262232974,铍栋波炼坡,舰长,103,泉塘,24
41,47137568,樱华森优丶,舰长,204,泉塘,24
42,587084,朝月小仙女,舰长,175,泉塘,24
43,390825229,Silverlight_银光,舰长,105,泉塘,24
44,5859526,来一桶夹芯饼,舰长,148,泉塘,24
45,305361449,-__喜多川海梦__-,舰长,118,泉塘,24
46,1552867361,HtElysia,舰长,63,泉塘,24
47,13509202,Nanakuya,舰长,110,泉塘,24
48,2671476,水猴籽,舰长,82,泉塘,24
49,56769934,櫻島燈子_Official,舰长,109,泉塘,24
50,6937621,乌托邦的星期九,舰长,126,泉塘,24
51,1496522837,泉塘的丛雨,舰长,53,泉塘,24
52,1041611906,DCOT的修勾,舰长,104,泉塘,23
53,5321940,十五夜星辰,舰长,121,泉塘,23
54,16120966,洛伊德LloydTT,舰长,107,泉塘,23
55,3546842591660693,ymm二号机,舰长,66,泉塘,23
56,577715370,1topNIKO,舰长,99,泉塘,23
57,511525496,墠墢圗圙圚嚈嚉嚊嚋嚈,舰长,59,泉塘,23
58,2021813,憨咸玉,舰长,102,泉塘,23
59,527559494,爱鸽的原魔菌,舰长,95,泉塘,23
60,527242512,捧瓜猛吃,舰长,55,泉塘,23
61,399258692,_緒山-まひろ-みはり_,舰长,121,泉塘,23
62,1315517967,YoM0Y,舰长,103,泉塘,23
63,15195322,剑人君,舰长,85,泉塘,23
64,1726002932,Sinenroy海丰,舰长,50,泉塘,23
65,1212405814,菜苟_channel,舰长,74,泉塘,23
66,12093827,牛肉吐司饼,舰长,52,泉塘,23
67,20755725,夏卓风,舰长,72,泉塘,23
68,628870041,酥酥的若弱宝贝穷鬼版,舰长,24,泉塘,23
69,3993827,托兰格海德_Official,舰长,67,泉塘,23
70,15315886,白尘-咒凋,舰长,56,泉塘,23
71,364340253,都说找重口别找片哥,舰长,0,泉塘,23
72,154289065,xwdx,舰长,0,泉塘,23
73,419270138,音の烟沐,舰长,58,泉塘,23
74,441991888,St_range,舰长,89,泉塘,23
75,442725234,SakuraYukipsy,舰长,69,泉塘,23
76,429519887,NeG_-康纳,舰长,23,泉塘,23
77,496099752,临水观云起,舰长,40,泉塘,23
78,8179383,DPSDelta_AL,舰长,64,泉塘,22
79,30565793,回转的沙漏,舰长,87,泉塘,22
80,37111016,龙之啸风,舰长,81,泉塘,22
81,439396668,山諵lok,舰长,47,泉塘,22
82,61444598,霜染樱_阿蒙,舰长,44,泉塘,22
83,71555219,我心水东流,舰长,79,泉塘,22
84,2548153,醒眼来龍,舰长,64,泉塘,22
85,132157412,一笑丶倾人,舰长,67,泉塘,22
86,12517067,秒針です,舰长,73,泉塘,22
87,3546599829539225,甜豆腐恼nya,舰长,54,泉塘,22
88,96552,Agony子玄,舰长,58,泉塘,22
89,1509867647,咪茉家の枫眠,舰长,56,泉塘,22
90,3546590050519081,十四_poitry14,舰长,42,泉塘,22
91,600069495,岁聿云暮_over,舰长,54,泉塘,22
92,17405225,浅雨隐,舰长,42,泉塘,22
93,430199449,你们的欧豆桑,舰长,57,泉塘,22
94,351189984,睡觉形态玲泠柃,舰长,49,泉塘,22
95,385477025,干择OXCHMX,舰长,59,泉塘,22
96,497436904,Kaiserovo,舰长,30,泉塘,22
97,29214095,Blinktime,舰长,52,泉塘,22
98,34330751,手打柠檬气泡茶,舰长,47,泉塘,22
99,1494437256,Sana酱我老婆,舰长,57,泉塘,22
100,478153,demkro,舰长,35,泉塘,22
101,3546858186082583,祈云洛,舰长,37,泉塘,22
102,402691241,不怕队长的小虎鲸,舰长,37,泉塘,22
103,74092439,小年兽_嗷,舰长,37,泉塘,22
104,82267966,i幽幽子,舰长,44,泉塘,22
105,6971505,无意识的koi,舰长,37,泉塘,22
106,4701207,筷子呼呼大睡,舰长,44,泉塘,22
107,3546661592763084,蓥Mei,舰长,55,泉塘,22
108,27103975,葉枼尽梨惹,舰长,59,泉塘,22
109,14257646,月河xy,舰长,48,泉塘,22
110,12411592,小烟Mew,舰长,28,泉塘,22
111,3422997,奈咪_NightMi,舰长,56,泉塘,22
112,3494364290485036,橘色系想睡觉,舰长,31,泉塘,22
113,327362254,Pascal_帕斯卡,舰长,29,泉塘,22
114,3493105338681350,我爱羅丶丨,舰长,30,泉塘,21
115,225580285,小松子皮皮,舰长,27,泉塘,21
116,521446332,此生无恋123,舰长,23,泉塘,21
117,259199500,Balkl_Official,舰长,6,泉塘,21
118,1519228540,永是那年白月光,舰长,16,泉塘,21
119,9481765,温暖裙宝,舰长,8,泉塘,21
120,32241508,惟愿世人少苦难_钢板,舰长,22,泉塘,21
121,441163828,咕咕叫的咕咕鸽,舰长,22,泉塘,21
122,316419941,月照松风吹解,舰长,26,泉塘,21
123,1810755494,不连续不可导ヽ,舰长,19,泉塘,21
124,14357649,未月華丶,舰长,21,泉塘,21
125,1141035553,黑澤月乃,舰长,28,泉塘,21
126,1204931786,悟忘尘,舰长,21,泉塘,21
127,2189079,呼呼被子,舰长,21,泉塘,21
128,1716818,異端の丧失失,舰长,10,泉塘,21
129,2598837,Lance君没有平底锅,舰长,11,泉塘,21
130,2774751,三角形不是德尔塔,舰长,15,泉塘,21
131,181785965,花灼惘,舰长,23,泉塘,21
132,354198882,Maximil1an,舰长,25,泉塘,21
133,28001241,强尼不来子,舰长,30,泉塘,21
134,3546670771997398,语风光,舰长,15,泉塘,21
135,91721982,真不戳大屯屯委叔计,舰长,19,泉塘,21
136,672572632,惜颜墨舞,舰长,24,泉塘,21
137,531899561,Daredemo一Daisuki,舰长,13,泉塘,21
138,52365802,Vivi_Lzw,舰长,16,泉塘,21
139,501846720,コロンビア様,舰长,30,泉塘,21
140,47481229,大玫球L-,舰长,19,泉塘,21
141,470717144,bili_81699432499,舰长,22,泉塘,21
142,433609129,hp骆驼,舰长,19,泉塘,21
143,40454095,gca44737,舰长,26,泉塘,21
144,3546393654332013,井栖夜,舰长,21,泉塘,21
145,3537121014975184,栋栋131,舰长,30,泉塘,21
146,3494373390027248,账号已注销,舰长,17,泉塘,21
147,3461564166310310,月离YM,舰长,23,泉塘,21
148,32074995,Purhythm,舰长,29,泉塘,21
149,314091011,帕弥什前线指挥官,舰长,31,泉塘,21
150,297176794,壹柒拾七,舰长,4,泉塘,21
151,262877,美汐瑛莉,舰长,20,泉塘,21
152,223956915,刚刚丢了伍佰块,舰长,16,泉塘,21
153,222365318,不笑猫Official,舰长,21,泉塘,21
154,21913264,丨上杉家主丨,舰长,28,泉塘,21
155,21641934,伊東です,舰长,13,泉塘,21
156,2137333,天花板さん,舰长,11,泉塘,21
157,2033194773,原理置换,舰长,21,泉塘,21
158,1903595,狂暴鸟人_official,舰长,28,泉塘,21
159,178990533,天空咯哦哟,舰长,4,泉塘,21
160,14413853,日落之势,舰长,23,泉塘,21
161,13589911,断裂的心轨,舰长,11,泉塘,21
