rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,780,泉塘,31
2,230449265,ECHO-回声-,提督,963,泉塘,31
3,32826022,柒玖さん,提督,218,泉塘,28
4,1865633553,俺果冻大亨,舰长,309,泉塘,31
5,27660357,流星Ali_画画学习中,舰长,972,泉塘,29
6,39863332,请激推吃块饼干饼,舰长,354,泉塘,28
7,30571987,穆宝321321,舰长,348,泉塘,28
8,1844901,INH桑,舰长,374,泉塘,27
9,33504517,虾籽阳春面_泉宝信徒,舰长,342,泉塘,27
10,13281308,Andersener,舰长,213,泉塘,27
11,100990414,沐竹-星间泉神教,舰长,972,泉塘,26
12,4470537,反正什么都没有_语,舰长,872,泉塘,26
13,187213,我的现任同居小男友,舰长,734,泉塘,26
14,39276653,sphingo,舰长,716,泉塘,26
15,26117826,F常胜,舰长,494,泉塘,26
16,21930032,Mochizki,舰长,915,泉塘,26
17,3546643745999458,是小号-,舰长,199,泉塘,26
18,569464277,技术力低下并且待机,舰长,630,泉塘,26
19,85396059,河豚黑听中___,舰长,264,泉塘,26
20,241407928,葉月-Hatsuki,舰长,664,泉塘,26
21,1590686072,o0O彼岸O0o,舰长,762,泉塘,26
22,493738704,给傻子上舰,舰长,217,泉塘,26
23,5379791,袖白雪qwq,舰长,46,泉塘,26
24,8432843,大交叉-official,舰长,347,泉塘,25
25,1688280199,星间泉izumi,舰长,457,泉塘,25
26,385860703,五更雪落Yuki,舰长,298,泉塘,25
27,3546645272725664,伊娜1na,舰长,369,泉塘,25
28,38002734,我是个憨憨呢,舰长,359,泉塘,25
29,2918786,异世界雪原之紫,舰长,180,泉塘,25
30,44097,Lycerisious_夕,舰长,184,泉塘,25
31,224607521,粥店王老板,舰长,312,泉塘,25
32,337891,love小唧love,舰长,261,泉塘,25
33,44987344,初见Yui,舰长,270,泉塘,25
34,39012888,Osax冫,舰长,110,泉塘,25
35,8167154,炉石酒馆丶米乐,舰长,195,泉塘,25
36,23053482,祖皇临古今,舰长,257,泉塘,25
37,182322636,紫色的夏,舰长,227,泉塘,24
38,295541604,樱井小汐,舰长,257,泉塘,24
39,160803875,三箱辣条压压惊,舰长,271,泉塘,24
40,1033953289,鸿儒之赋,舰长,222,泉塘,24
41,7220745,Juicefff,舰长,158,泉塘,24
42,262232974,铍栋波炼坡,舰长,96,泉塘,24
43,47137568,樱华森优丶,舰长,197,泉塘,24
44,587084,朝月小仙女,舰长,168,泉塘,24
45,85879758,珏珏子泠雫,舰长,13,泉塘,24
46,328086627,莳祺鸢,舰长,206,泉塘,24
47,390825229,Silverlight_银光,舰长,98,泉塘,24
48,5859526,来一桶夹芯饼,舰长,141,泉塘,24
49,305361449,-__喜多川海梦__-,舰长,111,泉塘,24
