rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,779,泉塘,31
2,230449265,ECHO-回声-,提督,962,泉塘,31
3,1865633553,俺果冻大亨,舰长,308,泉塘,31
4,27660357,流星Ali_画画学习中,舰长,971,泉塘,29
5,32826022,柒玖さん,舰长,217,泉塘,28
6,39863332,请激推吃块饼干饼,舰长,353,泉塘,28
7,30571987,穆宝321321,舰长,347,泉塘,28
8,1844901,INH桑,舰长,373,泉塘,27
9,33504517,虾籽阳春面_泉宝信徒,舰长,341,泉塘,27
10,13281308,Andersener,舰长,212,泉塘,27
11,100990414,沐竹-星间泉神教,舰长,971,泉塘,26
12,4470537,反正什么都没有_语,舰长,871,泉塘,26
13,187213,我的现任同居小男友,舰长,733,泉塘,26
14,39276653,sphingo,舰长,715,泉塘,26
15,26117826,F常胜,舰长,493,泉塘,26
16,21930032,Mochizki,舰长,914,泉塘,26
17,3546643745999458,是小号-,舰长,198,泉塘,26
18,569464277,技术力低下并且待机,舰长,629,泉塘,26
19,85396059,河豚黑听中___,舰长,263,泉塘,26
20,241407928,葉月-Hatsuki,舰长,663,泉塘,26
21,1590686072,o0O彼岸O0o,舰长,761,泉塘,26
22,493738704,给傻子上舰,舰长,216,泉塘,26
23,5379791,袖白雪qwq,舰长,45,泉塘,26
24,8432843,大交叉-official,舰长,346,泉塘,25
25,1688280199,星间泉izumi,舰长,456,泉塘,25
26,385860703,五更雪落Yuki,舰长,297,泉塘,25
27,3546645272725664,伊娜1na,舰长,368,泉塘,25
28,38002734,我是个憨憨呢,舰长,358,泉塘,25
29,2918786,异世界雪原之紫,舰长,179,泉塘,25
30,44097,Lycerisious_夕,舰长,183,泉塘,25
31,224607521,粥店王老板,舰长,311,泉塘,25
32,337891,love小唧love,舰长,260,泉塘,25
33,44987344,初见Yui,舰长,269,泉塘,25
34,39012888,Osax冫,舰长,109,泉塘,25
35,8167154,炉石酒馆丶米乐,舰长,194,泉塘,25
36,23053482,祖皇临古今,舰长,256,泉塘,25
37,182322636,紫色的夏,舰长,226,泉塘,24
38,295541604,樱井小汐,舰长,256,泉塘,24
39,1033953289,鸿儒之赋,舰长,221,泉塘,24
40,160803875,三箱辣条压压惊,舰长,270,泉塘,24
41,7220745,Juicefff,舰长,157,泉塘,24
42,262232974,铍栋波炼坡,舰长,95,泉塘,24
43,47137568,樱华森优丶,舰长,196,泉塘,24
44,587084,朝月小仙女,舰长,167,泉塘,24
45,328086627,莳祺鸢,舰长,205,泉塘,24
46,390825229,Silverlight_银光,舰长,97,泉塘,24
47,5859526,来一桶夹芯饼,舰长,140,泉塘,24
48,305361449,-__喜多川海梦__-,舰长,110,泉塘,24
49,1552867361,HtElysia,舰长,55,泉塘,24
50,354501181,南栀ナン,舰长,58,泉塘,24
51,85879758,珏珏子泠雫,舰长,12,泉塘,24
52,13509202,Nanakuya,舰长,102,泉塘,24
53,2671476,水猴籽,舰长,74,泉塘,24
54,6937621,乌托邦的星期九,舰长,118,泉塘,24
55,56769934,櫻島燈子_Official,舰长,101,泉塘,24
56,1496522837,玉面丛雨王,舰长,45,泉塘,23
57,1041611906,DCOT的修勾,舰长,96,泉塘,23
58,5321940,十五夜星辰,舰长,113,泉塘,23
