rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,ECHO-回声_,提督,1242,泉塘,47
2,1298744,めいじゃ_,提督,1059,泉塘,47
3,30571987,穆宝321321,提督,624,泉塘,40
4,15315886,白尘-咒凋,提督,328,泉塘,34
5,6895883,千里王,提督,158,泉塘,32
6,23863877,极夜冰火,提督,71,泉塘,31
7,32826022,柒玖さん,舰长,489,泉塘,42
8,27660357,酸柚流星Ali,舰长,1251,泉塘,42
9,85879758,新条泠,舰长,292,泉塘,36
10,33504517,虾籽阳春面,舰长,403,泉塘,34
11,187213,我的现任同居小男友,舰长,1013,泉塘,34
12,8432843,大交叉-official,舰长,485,泉塘,34
13,26117826,F常胜,舰长,773,泉塘,34
14,21930032,Mochizki,舰长,1194,泉塘,33
15,1590686072,o0O彼岸O0o,舰长,1041,泉塘,33
16,241407928,咲畑梨深-,舰长,943,泉塘,33
17,569464277,技术力低下并且待机,舰长,788,泉塘,33
18,493738704,给儍子上舰,舰长,496,泉塘,33
19,3546643745999458,朽川_木,舰长,210,泉塘,32
20,38002734,我是个憨憨呢,舰长,638,泉塘,32
21,295541604,樱井小汐,舰长,516,泉塘,32
22,20755725,夏卓风,舰长,277,泉塘,32
23,32139540,吟诗小白,舰长,262,泉塘,31
24,23053482,祖皇临古今,舰长,536,泉塘,31
25,262232974,铍栋波炼坡,舰长,369,泉塘,31
26,2129094116,南鹿依山,舰长,285,泉塘,31
27,3546645272725664,伊娜1na,舰长,648,泉塘,31
28,3494360240884421,寒山芳宁达,舰长,540,泉塘,31
29,109147473,odorikoz,舰长,424,泉塘,30
30,337891,love小唧love,舰长,345,泉塘,30
31,3546711928604807,请您吃拼好饭,舰长,230,泉塘,30
32,182322636,紫色的夏,舰长,374,泉塘,30
33,476067392,祈小蓝,舰长,224,泉塘,30
34,441991888,St_range,舰长,353,泉塘,30
35,672572632,惜颜墨舞,舰长,296,泉塘,30
36,1315517967,YoM0Y,舰长,375,泉塘,30
37,389324886,苦尽甘来的方糖,舰长,165,泉塘,29
38,1420010897,我永远喜欢博伊西,舰长,128,泉塘,29
39,166697233,天使念经,舰长,67,泉塘,29
40,649976501,温温爱哭鬼,舰长,154,泉塘,29
41,1480678340,游荡梦呓,舰长,64,泉塘,29
42,80313739,泉间星ing,舰长,93,泉塘,28
43,660286260,欣曦SinCe,舰长,151,泉塘,28
44,524960801,sil_沐长,舰长,151,泉塘,28
45,413457324,雨宮Hotaru,舰长,178,泉塘,28
46,50110410,熊桑阿,舰长,127,泉塘,27
47,499174623,人机mirror,舰长,130,泉塘,27
48,296301043,穹尽亿世,舰长,138,泉塘,27
49,36823906,Cloud_跟风云玩家,舰长,153,泉塘,27
50,290141205,大凤suki,舰长,131,泉塘,27
51,630776989,迷人小妖艳,舰长,143,泉塘,27
52,1041611906,DCOT的修勾,舰长,177,泉塘,27
53,40258316,Badelyn,舰长,130,泉塘,27
54,2021813,憨咸玉,舰长,156,泉塘,27
55,1494437256,Sana酱我老婆,舰长,155,泉塘,27
56,398725864,乘风归去的猪,舰长,128,泉塘,27
57,6413726,千年巫妖狐,舰长,71,泉塘,26
58,23175320,Ku_Luo_Sang,舰长,34,泉塘,26
59,4701207,昏睡若叶筷,舰长,128,泉塘,26
60,23757173,闷骚的节操菌,舰长,75,泉塘,26
61,3546839395601231,FAMSNAKE,舰长,130,泉塘,26
62,296695126,北往南忆,舰长,62,泉塘,26
63,3546579432639267,究极抱兮瑶兽,舰长,99,泉塘,26
64,419270138,音の烟沐,舰长,64,泉塘,25
65,1454109228,Sirius_ash,舰长,74,泉塘,25
66,291015763,喜哭emm,舰长,91,泉塘,25
67,3277550,切老师的猫,舰长,119,泉塘,25
68,34859384,飘渺三山外,舰长,64,泉塘,25
69,690194318,瑞士卷增殖怪,舰长,7,泉塘,25
70,37292690,龙狐狐风夨,舰长,34,泉塘,25
71,436546231,忒卡_Teca,舰长,36,泉塘,25
72,224518493,揽月映星河,舰长,74,泉塘,25
73,290696925,火力大喵出门就倒,舰长,32,泉塘,25
74,178501165,雪碧柠檬茶Reluna,舰长,72,泉塘,24
75,2035428444,凪間家の子,舰长,26,泉塘,24
76,495779435,彳亍矢口,舰长,35,泉塘,24
77,28968186,挂机如风,舰长,39,泉塘,24
78,1974732698,丯埜媺敩,舰长,35,泉塘,24
79,7947055,可天星,舰长,4,泉塘,24
80,8997205,丶无奈丨,舰长,4,泉塘,24
81,3546753582238535,暮色Knight,舰长,126,泉塘,24
82,3546968678730055,ECHOArknight,舰长,37,泉塘,24
83,444027147,Shiroust,舰长,37,泉塘,23
