rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,859,泉塘,31
2,230449265,ECHO-回声-,提督,1042,泉塘,31
3,32826022,柒玖さん,提督,297,泉塘,29
4,61048436,鑢七叶,提督,150,泉塘,27
5,1865633553,俺果冻大亨,舰长,388,泉塘,31
6,27660357,流星Ali_画画学习中,舰长,1051,泉塘,29
7,39863332,请激推吃块饼干饼,舰长,433,泉塘,28
8,30571987,穆宝321321,舰长,427,泉塘,28
9,13281308,Andersener,舰长,292,泉塘,27
10,85879758,倾珏子泠雫,舰长,92,泉塘,27
11,4470537,反正什么都没有_语,舰长,951,泉塘,26
12,187213,我的现任同居小男友,舰长,813,泉塘,26
13,39276653,sphingo,舰长,795,泉塘,26
14,21930032,Mochizki,舰长,994,泉塘,26
15,26117826,F常胜,舰长,573,泉塘,26
16,85396059,河豚黑听中___,舰长,343,泉塘,26
17,1590686072,o0O彼岸O0o,舰长,841,泉塘,26
18,5379791,袖白雪qwq,舰长,121,泉塘,26
19,241407928,葉月-Hatsuki,舰长,743,泉塘,26
20,493738704,给傻子上舰,舰长,296,泉塘,26
21,2129094116,南鹿依山,舰长,269,泉塘,26
22,385860703,五更雪落Yuki,舰长,377,泉塘,25
23,38002734,我是个憨憨呢,舰长,438,泉塘,25
24,3546645272725664,伊娜1na,舰长,448,泉塘,25
25,252697075,修罗店主,舰长,267,泉塘,25
26,23053482,祖皇临古今,舰长,336,泉塘,25
27,295541604,樱井小汐,舰长,336,泉塘,25
28,182322636,紫色的夏,舰长,306,泉塘,25
29,1033953289,鸿儒之赋,舰长,301,泉塘,25
30,262232974,铍栋波炼坡,舰长,175,泉塘,25
31,1552867361,HtElysia,舰长,130,泉塘,24
32,56769934,櫻島燈子_Official,舰长,178,泉塘,24
33,527242512,捧瓜猛吃,舰长,127,泉塘,24
34,15195322,剑人君,舰长,156,泉塘,24
35,15315886,白尘-咒凋,舰长,128,泉塘,24
36,399319144,zyiixx,舰长,152,泉塘,24
37,577715370,1topNIKO,舰长,171,泉塘,24
38,32139540,吟诗小白,舰长,108,泉塘,24
39,3993827,托兰格海德_Official,舰长,121,泉塘,24
40,441991888,St_range,舰长,161,泉塘,24
41,47024368,小萌萌萌新,舰长,145,泉塘,24
42,37111016,龙之啸风,舰长,153,泉塘,24
43,1315517967,YoM0Y,舰长,175,泉塘,24
44,71555219,我心水东流,舰长,151,泉塘,24
45,413457324,雨宮Hotaru,舰长,146,泉塘,24
46,2548153,醒眼来龍,舰长,136,泉塘,23
47,262877,美汐瑛莉,舰长,92,泉塘,23
48,4701207,筷子呼呼大睡,舰长,93,泉塘,23
49,3546858186082583,祈云洛,舰长,109,泉塘,23
50,478153,demkro,舰长,107,泉塘,23
51,672572632,惜颜墨舞,舰长,96,泉塘,23
52,2189079,呼呼被子,舰长,78,泉塘,23
53,23217037,八翼-玲珑,舰长,52,泉塘,23
54,291015763,喜哭emm,舰长,52,泉塘,22
55,35638826,当个咸鱼多快乐,舰长,49,泉塘,22
56,411814804,听雪のヒフミ,舰长,19,泉塘,22
57,476067392,祈小蓝,舰长,24,泉塘,22
58,610682191,ATLAS-Pixy,舰长,16,泉塘,21
59,4006443,白的熊丶口牙,舰长,21,泉塘,21
60,286451418,Yalioon,舰长,5,泉塘,21
61,290303127,゜nameless,舰长,6,泉塘,21
62,2037519885,Ooonestep,舰长,31,泉塘,21
63,1926076220,NickelXZ,舰长,29,泉塘,21
64,457257267,河边的闪光,舰长,11,泉塘,21
65,3546711928604807,请您吃拼好饭,舰长,30,泉塘,21
66,1247118235,-太过丸美-,舰长,27,泉塘,21
