rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,958,泉塘,47
2,230449265,ECHO-回声_,提督,1141,泉塘,47
3,32826022,柒玖さん,提督,396,泉塘,42
4,30571987,穆宝321321,提督,523,泉塘,39
5,27660357,酸柚流星Ali,舰长,1150,泉塘,42
6,39863332,枫糖奶油饼,舰长,532,泉塘,39
7,13281308,Andersener,舰长,391,泉塘,36
8,1844901,INH桑,舰长,469,泉塘,36
9,85879758,倾珏子泠雫,舰长,191,泉塘,35
10,85396059,河豚黑听中___,舰长,441,泉塘,35
11,187213,我的现任同居小男友,舰长,912,泉塘,33
12,26117826,F常胜,舰长,672,泉塘,33
13,39276653,sphingo,舰长,892,泉塘,33
14,21930032,Mochizki,舰长,1093,泉塘,33
15,241407928,葉月-Hatsuki,舰长,842,泉塘,32
16,1590686072,o0O彼岸O0o,舰长,940,泉塘,32
17,493738704,给儍子上舰,舰长,395,泉塘,32
18,569464277,技术力低下并且待机,舰长,687,泉塘,32
19,513458866,Echo回声___,舰长,479,泉塘,32
20,38002734,我是个憨憨呢,舰长,537,泉塘,31
21,295541604,樱井小汐,舰长,435,泉塘,31
22,23053482,祖皇临古今,舰长,435,泉塘,31
23,3494360240884421,寒山芳宁达,舰长,503,泉塘,31
24,3546645272725664,伊娜1na,舰长,547,泉塘,30
25,262232974,铍栋波炼坡,舰长,274,泉塘,30
26,1033953289,鸿儒之赋,舰长,400,泉塘,30
27,32139540,吟诗小白,舰长,164,泉塘,30
28,15315886,白尘-咒凋,舰长,227,泉塘,30
29,295562873,孤寡咕嘎呱,舰长,228,泉塘,30
30,3993827,托兰格海德_Official,舰长,220,泉塘,29
31,20755725,夏卓风,舰长,176,泉塘,29
32,1315517967,YoM0Y,舰长,274,泉塘,28
33,3546711928604807,请您吃拼好饭,舰长,129,泉塘,28
34,672572632,惜颜墨舞,舰长,195,泉塘,28
35,577715370,1topNIKO,舰长,270,泉塘,28
36,441991888,St_range,舰长,260,泉塘,28
37,1212405814,菜苟_channel,舰长,166,泉塘,28
38,476067392,祈小蓝,舰长,123,泉塘,27
39,37111016,龙之啸风,舰长,252,泉塘,27
40,2189079,呼呼被子,舰长,177,泉塘,27
41,6937621,乌托邦的星期九,舰长,209,泉塘,27
42,11616614,對對對對對QwQ,舰长,29,泉塘,27
43,399130198,三岚三,舰长,74,泉塘,27
44,166697233,天使念经,舰长,23,泉塘,26
45,172386355,大柚子MAX,舰长,54,泉塘,26
46,6895883,千里王,舰长,112,泉塘,26
47,364340253,都说找重口别找片哥,舰长,136,泉塘,26
48,389324886,苦尽甘来的方糖,舰长,64,泉塘,26
49,1420010897,我永远喜欢博伊西,舰长,37,泉塘,26
50,34481755,球长_,舰长,72,泉塘,26
51,11393156,祈山有明,舰长,36,泉塘,26
52,290303127,゜nameless,舰长,83,泉塘,26
53,77953397,绵昕,舰长,49,泉塘,26
54,5167140,南极人空格,舰长,42,泉塘,25
55,20779899,一桐一人一,舰长,89,泉塘,25
56,15115048,原罪学者GC,舰长,65,泉塘,25
57,21141395,弑_寂,舰长,43,泉塘,25
58,649976501,温温爱哭鬼,舰长,53,泉塘,25
59,1494437256,Sana酱我老婆,舰长,108,泉塘,25
60,354813675,阿U很优秀ペ,舰长,23,泉塘,25
61,387176939,木得灵感,舰长,34,泉塘,25
62,252704989,我喜欢你你喜欢我-,舰长,29,泉塘,25
63,28748060,只想躺平的咸鱼鱼鱼鱼,舰长,29,泉塘,25
64,35964746,爱贴贴的QQ馨,舰长,57,泉塘,25
65,5893880,附更新,舰长,53,泉塘,25
66,296301043,穹尽亿世,舰长,65,泉塘,25
67,473064370,忘忧草不会庸人自扰,舰长,29,泉塘,25
68,630776989,迷人小妖艳,舰长,42,泉塘,25
69,68095527,无敌小灵大王,舰长,26,泉塘,25
70,3493112743725883,lbag,舰长,48,泉塘,25
71,595489,polikc,舰长,38,泉塘,25
72,297176794,壹柒拾七,舰长,70,泉塘,25
