rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,963,泉塘,47
2,230449265,ECHO-回声_,提督,1146,泉塘,47
3,32826022,柒玖さん,提督,401,泉塘,42
4,30571987,穆宝321321,提督,528,泉塘,39
5,27660357,酸柚流星Ali,舰长,1155,泉塘,42
6,39863332,枫糖奶油饼,舰长,537,泉塘,39
7,1844901,INH桑,舰长,474,泉塘,36
8,85879758,新条泠,舰长,196,泉塘,35
9,85396059,河豚黑听中___,舰长,446,泉塘,35
10,187213,我的现任同居小男友,舰长,917,泉塘,33
11,26117826,F常胜,舰长,677,泉塘,33
12,39276653,sphingo,舰长,897,泉塘,33
13,21930032,Mochizki,舰长,1098,泉塘,33
14,241407928,葉月-Hatsuki,舰长,847,泉塘,32
15,1590686072,o0O彼岸O0o,舰长,945,泉塘,32
16,569464277,技术力低下并且待机,舰长,692,泉塘,32
17,493738704,给儍子上舰,舰长,400,泉塘,32
18,38002734,我是个憨憨呢,舰长,542,泉塘,31
19,295541604,樱井小汐,舰长,440,泉塘,31
20,23053482,祖皇临古今,舰长,440,泉塘,31
21,3494360240884421,寒山芳宁达,舰长,508,泉塘,31
22,3546645272725664,伊娜1na,舰长,552,泉塘,30
23,262232974,铍栋波炼坡,舰长,279,泉塘,30
24,15315886,白尘-咒凋,舰长,232,泉塘,30
25,1033953289,鸿儒之赋,舰长,405,泉塘,30
26,32139540,吟诗小白,舰长,169,泉塘,30
27,295562873,孤寡咕嘎呱,舰长,233,泉塘,30
28,20755725,夏卓风,舰长,181,泉塘,29
29,3993827,托兰格海德_Official,舰长,225,泉塘,29
30,577715370,1topNIKO,舰长,275,泉塘,29
31,1315517967,YoM0Y,舰长,279,泉塘,28
32,3546711928604807,请您吃拼好饭,舰长,134,泉塘,28
33,441991888,St_range,舰长,265,泉塘,28
34,672572632,惜颜墨舞,舰长,200,泉塘,28
35,1212405814,菜苟_channel,舰长,171,泉塘,28
36,6937621,乌托邦的星期九,舰长,214,泉塘,28
37,476067392,祈小蓝,舰长,128,泉塘,28
