rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,ECHO-回声_,提督,1166,泉塘,47
2,1298744,汐音的小奶嗝,提督,983,泉塘,47
3,32826022,柒玖さん,提督,421,泉塘,42
4,27660357,酸柚流星Ali,舰长,1175,泉塘,42
5,39863332,枫糖奶油饼,舰长,557,泉塘,39
6,30571987,穆宝321321,舰长,548,泉塘,39
7,85879758,新条泠,舰长,216,泉塘,35
8,85396059,河豚黑听中___,舰长,466,泉塘,35
9,187213,我的现任同居小男友,舰长,937,泉塘,33
10,26117826,F常胜,舰长,697,泉塘,33
11,21930032,Mochizki,舰长,1118,泉塘,33
12,1590686072,o0O彼岸O0o,舰长,965,泉塘,32
13,241407928,葉月-Hatsuki,舰长,867,泉塘,32
14,493738704,只加傻V团,舰长,420,泉塘,32
15,569464277,技术力低下并且待机,舰长,712,泉塘,32
16,513458866,Echo回声___,舰长,494,泉塘,32
17,38002734,我是个憨憨呢,舰长,562,泉塘,31
18,295541604,樱井小汐,舰长,454,泉塘,31
19,23053482,祖皇临古今,舰长,460,泉塘,31
20,3546645272725664,伊娜1na,舰长,572,泉塘,30
21,15315886,白尘-咒凋,舰长,252,泉塘,30
22,262232974,铍栋波炼坡,舰长,299,泉塘,30
23,1033953289,鸿儒之赋,舰长,425,泉塘,30
24,32139540,吟诗小白,舰长,189,泉塘,30
25,20755725,夏卓风,舰长,201,泉塘,29
26,441991888,St_range,舰长,282,泉塘,29
27,3546711928604807,请您吃拼好饭,舰长,154,泉塘,29
28,577715370,1topNIKO,舰长,295,泉塘,29
29,672572632,惜颜墨舞,舰长,220,泉塘,29
30,1315517967,YoM0Y,舰长,299,泉塘,28
31,476067392,祈小蓝,舰长,148,泉塘,28
32,6937621,乌托邦的星期九,舰长,234,泉塘,28
33,6895883,千里王,舰长,137,泉塘,27
34,1420010897,我永远喜欢博伊西,舰长,62,泉塘,27
35,34481755,球长_,舰长,97,泉塘,27
36,20779899,一桐一人一,舰长,114,泉塘,26
37,649976501,温温爱哭鬼,舰长,78,泉塘,26
38,389324886,苦尽甘来的方糖,舰长,89,泉塘,26
39,1494437256,Sana酱我老婆,舰长,133,泉塘,26
40,11393156,祈山有明,舰长,61,泉塘,26
41,296301043,穹尽亿世,舰长,90,泉塘,26
42,28748060,只想躺平的咸鱼鱼鱼鱼,舰长,54,泉塘,26
43,15115048,原罪学者GC,舰长,90,泉塘,25
44,473064370,忘忧草不会庸人自扰,舰长,54,泉塘,25
45,50110410,驴肉味火烧,舰长,69,泉塘,25
46,630776989,迷人小妖艳,舰长,67,泉塘,25
47,3493112743725883,lbag,舰长,73,泉塘,25
48,399961440,浅梦ivv,舰长,69,泉塘,25
49,387176939,木得灵感,舰长,59,泉塘,25
50,169833008,Black_ink-,舰长,114,泉塘,25
51,660286260,欣曦SinCe,舰长,75,泉塘,25
52,3546579432639267,究极抱兮瑶兽,舰长,78,泉塘,25
53,398725864,乘风归去的猪,舰长,67,泉塘,25
54,524960801,sil_沐长,舰长,75,泉塘,25
55,36823906,Cloud_跟风云玩家,舰长,77,泉塘,25
56,35429741,黄油飞飞飞飞,舰长,54,泉塘,25
57,384824999,时候kitzuki,舰长,77,泉塘,25
58,290141205,大凤suki,舰长,55,泉塘,25
59,3493110204074132,_费阳阳_,舰长,33,泉塘,25
60,671268400,是老甜甜,舰长,54,泉塘,24
61,22952897,老咸苟,舰长,54,泉塘,24
62,499174623,人机mirror,舰长,54,泉塘,24
63,34362883,三年E班锋,舰长,47,泉塘,24
64,5660338,采煤概论,舰长,54,泉塘,24
65,23368664,雨点不清楚你已抛低我,舰长,48,泉塘,24
66,40258316,Badelyn,舰长,54,泉塘,24
67,5374741,ヒマワリの約束,舰长,61,泉塘,24
68,433261137,太行西街,舰长,61,泉塘,24
69,35753018,吃龙的虫,舰长,58,泉塘,24
70,507777470,-孤北笙-,舰长,46,泉塘,23
71,3461570514389446,曰道倩事冈版,舰长,40,泉塘,23
72,3277550,切老师的猫,舰长,43,泉塘,23
73,3546839395601231,FAMSNAKE,舰长,54,泉塘,23
74,43190526,老太爷阿橘,舰长,54,泉塘,23
75,89305238,天渊墨痕,舰长,10,泉塘,21
76,109404528,汽柠橘子,舰长,9,泉塘,21
77,3546668817451349,夜桜透-代号zero3,舰长,24,泉塘,21
78,24453976,被称为老年人的kaler,舰长,18,泉塘,21
79,7835489,星月盲盒,舰长,19,泉塘,21
