rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,967,泉塘,47
2,230449265,ECHO-回声_,提督,1150,泉塘,47
3,32826022,柒玖さん,提督,405,泉塘,42
4,30571987,穆宝321321,提督,532,泉塘,39
5,27660357,酸柚流星Ali,舰长,1159,泉塘,42
6,39863332,枫糖奶油饼,舰长,541,泉塘,39
7,85879758,新条泠,舰长,200,泉塘,35
8,85396059,河豚黑听中___,舰长,450,泉塘,35
9,187213,我的现任同居小男友,舰长,0,泉塘,33
10,26117826,F常胜,舰长,681,泉塘,33
11,39276653,sphingo,舰长,0,泉塘,33
12,21930032,Mochizki,舰长,1102,泉塘,33
13,241407928,葉月-Hatsuki,舰长,0,泉塘,32
14,1590686072,o0O彼岸O0o,舰长,949,泉塘,32
15,569464277,技术力低下并且待机,舰长,696,泉塘,32
16,493738704,给儍子上舰,舰长,404,泉塘,32
17,38002734,我是个憨憨呢,舰长,546,泉塘,31
18,295541604,樱井小汐,舰长,444,泉塘,31
19,23053482,祖皇临古今,舰长,444,泉塘,31
20,3546645272725664,伊娜1na,舰长,556,泉塘,30
21,262232974,铍栋波炼坡,舰长,283,泉塘,30
22,15315886,白尘-咒凋,舰长,236,泉塘,30
23,1033953289,鸿儒之赋,舰长,409,泉塘,30
24,32139540,吟诗小白,舰长,173,泉塘,30
25,295562873,孤寡咕嘎呱,舰长,237,泉塘,30
26,20755725,夏卓风,舰长,185,泉塘,29
27,3993827,托兰格海德_Official,舰长,229,泉塘,29
28,577715370,1topNIKO,舰长,279,泉塘,29
29,1315517967,YoM0Y,舰长,283,泉塘,28
30,3546711928604807,请您吃拼好饭,舰长,138,泉塘,28
31,441991888,St_range,舰长,269,泉塘,28
32,672572632,惜颜墨舞,舰长,204,泉塘,28
33,1212405814,菜苟_channel,舰长,175,泉塘,28
34,6937621,乌托邦的星期九,舰长,218,泉塘,28
35,476067392,祈小蓝,舰长,132,泉塘,28
36,37111016,龙之啸风,舰长,261,泉塘,27
37,6895883,千里王,舰长,121,泉塘,27
38,399130198,三岚三,舰长,83,泉塘,27
39,20779899,一桐一人一,舰长,98,泉塘,26
40,364340253,都说找重口别找片哥,舰长,145,泉塘,26
41,649976501,温温爱哭鬼,舰长,62,泉塘,26
42,1420010897,我永远喜欢博伊西,舰长,46,泉塘,26
43,389324886,苦尽甘来的方糖,舰长,73,泉塘,26
44,34481755,球长_,舰长,81,泉塘,26
45,11393156,祈山有明,舰长,45,泉塘,26
46,296301043,穹尽亿世,舰长,74,泉塘,26
47,77953397,绵昕,舰长,58,泉塘,26
48,28748060,只想躺平的咸鱼鱼鱼鱼,舰长,38,泉塘,26
49,15115048,原罪学者GC,舰长,74,泉塘,25
50,5167140,南极人空格,舰长,51,泉塘,25
51,473064370,忘忧草不会庸人自扰,舰长,38,泉塘,25
52,21141395,弑_寂,舰长,52,泉塘,25
53,1494437256,Sana酱我老婆,舰长,117,泉塘,25
54,387176939,木得灵感,舰长,43,泉塘,25
55,169833008,Black_ink-,舰长,98,泉塘,25
56,3546579432639267,究极抱兮瑶兽,舰长,62,泉塘,25
57,630776989,迷人小妖艳,舰长,51,泉塘,25
58,36823906,Cloud_跟风云玩家,舰长,61,泉塘,25
59,50110410,驴肉味火烧,舰长,53,泉塘,25
60,3493112743725883,lbag,舰长,57,泉塘,25
61,35429741,黄油飞飞飞飞,舰长,38,泉塘,25
62,595489,polikc,舰长,47,泉塘,25
63,290141205,大凤suki,舰长,39,泉塘,25
64,384824999,时候kitzuki,舰长,61,泉塘,25
65,399961440,浅梦ivv,舰长,53,泉塘,25
66,297176794,壹柒拾七,舰长,79,泉塘,25
67,671268400,是老甜甜,舰长,38,泉塘,24
68,499174623,人机mirror,舰长,38,泉塘,24
69,5660338,采煤概论,舰长,38,泉塘,24
70,13114479,杰里米斯,舰长,60,泉塘,24
71,22952897,老咸苟,舰长,38,泉塘,24
72,6939406,纸流花,舰长,47,泉塘,24
73,237733505,云千年-,舰长,58,泉塘,24
74,23368664,雨点不清楚你已抛低我,舰长,32,泉塘,24
75,5374741,ヒマワリの約束,舰长,45,泉塘,24
76,282144118,艾蕾贴贴,舰长,31,泉塘,24
77,5091227,T-SAKI,舰长,51,泉塘,24
78,7578843,绝世冷酷幽少爷,舰长,88,泉塘,24
79,40258316,Badelyn,舰长,38,泉塘,24
80,433261137,太行西街,舰长,45,泉塘,24
81,491880006,清灵奈,舰长,55,泉塘,24
82,398725864,乘风归去的猪,舰长,51,泉塘,24
83,660286260,欣曦SinCe,舰长,0,泉塘,24
84,35753018,吃龙的虫,舰长,42,泉塘,23
85,306240,冰室闹闹,舰长,53,泉塘,23
86,524960801,sil_沐长,舰长,59,泉塘,23
87,446172680,夜月流潋,舰长,57,泉塘,23
88,486558352,やめてJOJO,舰长,51,泉塘,23
89,104238006,有机亚克力,舰长,47,泉塘,23
90,3546839395601231,FAMSNAKE,舰长,38,泉塘,23
91,43190526,老太爷阿橘,舰长,38,泉塘,23
92,399804096,地龙今天跳龙之舞了吗,舰长,61,泉塘,23
93,11337875,菠萝荔枝鱼,舰长,58,泉塘,23
94,228718068,Ad0_Z0d14c,舰长,57,泉塘,23
95,3493110204074132,_费阳阳_,舰长,17,泉塘,22
96,178501165,雪碧柠檬茶Reluna,舰长,61,泉塘,22
97,161879420,刘胖兴,舰长,28,泉塘,22
98,3493115700709615,猫羽雫502,舰长,19,泉塘,22
99,35525341,擅长偷跑的璃乃同学,舰长,31,泉塘,21
100,507777470,曦辰s,舰长,30,泉塘,21
101,8429748,月影黯然,舰长,31,泉塘,21
102,700455071,瀚宇茫茫,舰长,31,泉塘,21
103,3546668817451349,夜桜透-代号zero3,舰长,8,泉塘,21
104,3277550,切老师的猫,舰长,27,泉塘,21
105,3546924128929823,randomtext,舰长,31,泉塘,21
106,7835489,星月盲盒,舰长,3,泉塘,21
107,16419190,撒谎的坏孩子,舰长,18,泉塘,21
108,24453976,被称为老年人的kaler,舰长,2,泉塘,21
