rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_泉泉专属,提督,540,泉塘,31
2,230449265,ECHO-回声-,提督,723,泉塘,30
3,1865633553,俺果冻大亨,提督,69,泉塘,30
4,27660357,泉泉家の流星Ali,提督,732,泉塘,28
5,39863332,请激推吃块饼干饼,提督,114,泉塘,27
6,1844901,INH桑,提督,140,泉塘,26
7,30571987,穆宝321321,提督,108,泉塘,26
8,33504517,虾籽阳春面,提督,106,泉塘,25
9,9103707,泉泉家の柒佑KeyU,舰长,580,泉塘,26
10,85738411,盼土豆逃离的修狗勾,舰长,606,泉塘,26
11,187213,我的现任同居小男友,舰长,518,泉塘,26
12,100990414,沐竹-星间泉神教,舰长,732,泉塘,26
13,4470537,反正什么都没有_语,舰长,632,泉塘,26
14,39276653,sphingo,舰长,476,泉塘,26
15,21930032,Mochizki,舰长,675,泉塘,26
16,569464277,技术力低下并且待机,舰长,390,泉塘,26
17,487446531,-喜欢歌势的天海OvO-,舰长,580,泉塘,25
18,13619261,药王desu,舰长,154,泉塘,25
19,241407928,葉月-Hatsuki,舰长,424,泉塘,25
20,1590686072,o0O彼岸O0o,舰长,522,泉塘,25
21,15571,Einzithy,舰长,295,泉塘,25
22,26117826,F常胜,舰长,254,泉塘,25
23,8432843,大交叉-official,舰长,107,泉塘,25
24,455213092,爱吃芒果的Daydreamer,舰长,274,泉塘,25
25,2003512509,恆星製夢观测站,舰长,378,泉塘,25
26,10853233,诗乃酱赛高qaq,舰长,397,泉塘,25
27,3494360240884421,寒山八百仞,舰长,378,泉塘,25
28,32773100,红炽灯,舰长,139,泉塘,24
29,170131485,苏莫言2077,舰长,209,泉塘,24
30,2042392251,鹭玖鸢_stargaze,舰长,152,泉塘,24
31,229119621,B8llon神仙鱼,舰长,103,泉塘,24
32,32327404,彩虹米饭,舰长,192,泉塘,24
33,1688280199,星间泉channel,舰长,217,泉塘,24
34,38002734,我是个憨憨呢,舰长,122,泉塘,23
35,114035992,M冯里希特霍芬,舰长,129,泉塘,23
36,3546645272725664,尹娜1na,舰长,129,泉塘,23
37,2826543,粽里寻她千百度,舰长,107,泉塘,23
38,385860703,五更雪落,舰长,58,泉塘,23
39,71538271,Artorias_wr,舰长,20,泉塘,23
40,1274097950,不为所动喵大人,舰长,83,泉塘,23
41,252697075,修罗店主,舰长,91,泉塘,23
42,337891,love小唧love,舰长,76,泉塘,22
43,224607521,粥店王老板,舰长,72,泉塘,22
44,3546658994391044,星落月华S,舰长,68,泉塘,22
45,295562873,质量与引力呈正比,舰长,89,泉塘,22
46,413457324,雨宮Hotaru,舰长,77,泉塘,22
47,527559494,爱鸽的原魔菌,舰长,81,泉塘,22
48,2145525339,邶瑾,舰长,26,泉塘,22
49,100406452,Umemi_,舰长,35,泉塘,22
50,284544819,乖一点就奶你,舰长,31,泉塘,22
51,3546711182019483,奈龙今天吃什么,舰长,43,泉塘,22
52,44987344,初见Yui,舰长,30,泉塘,22
53,395869643,Oooverlord,舰长,31,泉塘,22
54,3494380247713863,新一天开始2,舰长,32,泉塘,22
55,264451105,绘壹心JoyfulHeart,舰长,34,泉塘,22
56,16653188,粉红玻璃心M4,舰长,57,泉塘,22
57,384405675,丛雨の爱能止痛,舰长,31,泉塘,22
58,438644172,心海观赏鱼,舰长,59,泉塘,22
59,295541604,樱井小汐,舰长,28,泉塘,22
60,160803875,三箱辣条压压惊,舰长,31,泉塘,22
61,12012069,葉鋒,舰长,58,泉塘,22
62,9565962,猫娘才不萌呢,舰长,19,泉塘,22
63,129065711,樱花两点,舰长,31,泉塘,22
64,37292690,龙狐狐风夨,舰长,14,泉塘,21
65,22941517,子夜寄君書-,舰长,31,泉塘,21
66,5845346,未来咕咕咕,舰长,26,泉塘,21
67,19159410,之起_,舰长,29,泉塘,21
68,474060789,发邮局,舰长,27,泉塘,21
69,3546718658365568,雷泽灵海,舰长,13,泉塘,21
70,85396059,河豚黑听中___,舰长,24,泉塘,21
71,138150438,Felix_I,舰长,15,泉塘,21
72,26106682,自然の人,舰长,21,泉塘,21
73,3493127560104881,听-雨喧,舰长,23,泉塘,21
74,58278467,-所谓の誓言丶-,舰长,28,泉塘,21
