rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,744,泉塘,31
2,230449265,ECHO-回声-,提督,927,泉塘,31
3,27660357,流星Ali_画画学习中,提督,936,泉塘,29
4,30571987,穆宝321321,提督,312,泉塘,28
5,61048436,鑢七叶,提督,90,泉塘,27
6,33504517,虾籽阳春面_泉宝信徒,提督,310,泉塘,27
7,493738704,给傻子上舰,提督,181,泉塘,26
8,1865633553,俺果冻大亨,舰长,273,泉塘,31
9,39863332,请激推吃块饼干饼,舰长,318,泉塘,28
10,32826022,柒玖さん,舰长,182,泉塘,27
11,1844901,INH桑,舰长,339,泉塘,27
12,100990414,沐竹-星间泉神教,舰长,936,泉塘,26
13,187213,我的现任同居小男友,舰长,698,泉塘,26
14,4470537,反正什么都没有_语,舰长,836,泉塘,26
15,3920056,雪野夜时音,舰长,460,泉塘,26
16,13281308,Andersener,舰长,177,泉塘,26
17,39276653,sphingo,舰长,680,泉塘,26
18,21930032,Mochizki,舰长,879,泉塘,26
19,26117826,F常胜,舰长,458,泉塘,26
20,569464277,技术力低下并且待机,舰长,594,泉塘,26
21,513458866,Echo回声___,舰长,426,泉塘,26
22,85396059,河豚黑听中___,舰长,228,泉塘,26
23,1590686072,o0O彼岸O0o,舰长,726,泉塘,26
24,241407928,神山葉月_Hatsuki,舰长,628,泉塘,26
25,455213092,爱吃芒果的Daydreamer,舰长,445,泉塘,26
26,2129094116,南鹿依山,舰长,222,泉塘,26
27,8432843,大交叉-official,舰长,311,泉塘,25
28,1688280199,星间泉channel,舰长,421,泉塘,25
29,385860703,五更雪落Yuki,舰长,262,泉塘,25
30,3546645272725664,伊娜1na,舰长,333,泉塘,25
31,38002734,我是个憨憨呢,舰长,323,泉塘,25
32,305245439,逐影笔落,舰长,167,泉塘,25
33,44097,Lycerisious_夕,舰长,148,泉塘,25
34,224607521,粥店王老板,舰长,276,泉塘,25
35,44987344,初见Yui,舰长,234,泉塘,24
36,337891,love小唧love,舰长,239,泉塘,24
37,23053482,祖皇临古今,舰长,221,泉塘,24
38,252697075,修罗店主,舰长,179,泉塘,24
39,182322636,紫色的夏,舰长,191,泉塘,24
40,295541604,樱井小汐,舰长,221,泉塘,24
41,8167154,炉石酒馆丶米乐,舰长,175,泉塘,24
42,1033953289,鸿儒之赋,舰长,186,泉塘,24
43,7220745,Juicefff,舰长,122,泉塘,24
44,39012888,Osax冫,舰长,74,泉塘,24
45,160803875,三箱辣条压压惊,舰长,235,泉塘,24
46,47137568,樱华森优丶,舰长,161,泉塘,24
47,5859526,来一桶夹芯饼,舰长,105,泉塘,24
48,295562873,三叶草です,舰长,163,泉塘,24
49,262232974,铍栋波炼坡,舰长,68,泉塘,24
50,3493265603037241,三省不笙七TAT,舰长,127,泉塘,24
51,1296593028,葉月-Hatsuki,舰长,174,泉塘,24
52,14430066,哀伤だよ,舰长,119,泉塘,24
53,328086627,莳祺鸢,舰长,170,泉塘,24
54,14443753,冷烟QvQ,舰长,120,泉塘,24
55,32300675,小源还喜欢阿菌,舰长,119,泉塘,24
56,587084,朝月小仙女,舰长,132,泉塘,24
57,2671476,水猴籽,舰长,39,泉塘,24
58,23613722,Matarah_Okina,舰长,110,泉塘,23
59,13509202,Nanakuya,舰长,67,泉塘,23
60,305361449,-__喜多川海梦__-,舰长,87,泉塘,23
61,399319144,zyiixx,舰长,90,泉塘,23
62,321081893,凉城-星间泉教徒版,舰长,28,泉塘,23
63,56769934,櫻島燈子_Official,舰长,89,泉塘,23
64,1624845951,羽生南_minami,舰长,89,泉塘,23
65,14929029,咦大西瓜,舰长,74,泉塘,23
66,1041611906,DCOT的修勾,舰长,61,泉塘,23
67,5321940,十五夜星辰,舰长,78,泉塘,23
68,541391425,花椒锅巴土豆,舰长,115,泉塘,23
69,511525496,墠墢圗圙圚嚈嚉嚊嚋嚈,舰长,16,泉塘,23
70,16120966,洛伊德LloydTT,舰长,75,泉塘,23
71,32139540,吟诗小白,舰长,31,泉塘,23
72,12093827,Subeti_饼,舰长,9,泉塘,23
73,23740116,东方的西瓜,舰长,89,泉塘,23
74,202181646,三夜三秋,舰长,67,泉塘,23
75,6937621,乌托邦的星期九,舰长,83,泉塘,23
76,1272645,萌の沙耶,舰长,67,泉塘,23
77,1552867361,HtElysia,舰长,20,泉塘,23
78,397848848,南由羽,舰长,64,泉塘,22
79,399258692,_緒山-まひろ-みはり_,舰长,90,泉塘,22
80,1496522837,泉塘的丛雨,舰长,10,泉塘,22
