rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,717,泉塘,31
2,230449265,泉教のPreacher-回声,提督,900,泉塘,30
3,27660357,流星Ali_画画学习中,提督,909,泉塘,29
4,30571987,穆宝321321,提督,285,泉塘,28
5,61048436,鑢七叶,提督,63,泉塘,26
6,493738704,时贰live,提督,154,泉塘,26
7,3022180,我是昆子,提督,21,泉塘,25
8,1865633553,俺果冻大亨,舰长,246,泉塘,31
9,39863332,请激推吃块饼干饼,舰长,291,泉塘,28
10,1844901,INH桑,舰长,313,泉塘,27
11,32826022,柒玖さん,舰长,155,泉塘,27
12,100990414,沐竹-星间泉神教,舰长,909,泉塘,26
13,187213,我的现任同居小男友,舰长,671,泉塘,26
14,4470537,反正什么都没有_语,舰长,809,泉塘,26
15,33504517,虾籽阳春面_泉宝信徒,舰长,283,泉塘,26
16,39276653,sphingo,舰长,653,泉塘,26
17,3546643745999458,是小号-,舰长,171,泉塘,26
18,21930032,Mochizki,舰长,852,泉塘,26
19,26117826,F常胜,舰长,431,泉塘,26
20,569464277,技术力低下并且待机,舰长,567,泉塘,26
21,241407928,葉月-Hatsuki,舰长,601,泉塘,26
22,1590686072,o0O彼岸O0o,舰长,699,泉塘,26
23,13281308,Andersener,舰长,150,泉塘,26
24,9565962,猫娘才不萌呢,舰长,188,泉塘,26
25,455213092,爱吃芒果的Daydreamer,舰长,418,泉塘,26
26,2129094116,南鹿依山,舰长,211,泉塘,26
27,85396059,河豚黑听中___,舰长,201,泉塘,25
28,8432843,大交叉-official,舰长,284,泉塘,25
29,32327404,彩虹米饭,舰长,369,泉塘,25
30,1688280199,星间泉channel,舰长,394,泉塘,25
31,2309133,一只喵呗,舰长,292,泉塘,25
32,3546645272725664,伊娜1na,舰长,306,泉塘,25
33,385860703,五更雪落Yuki,舰长,235,泉塘,25
34,38002734,我是个憨憨呢,舰长,296,泉塘,24
35,224607521,粥店王老板,舰长,249,泉塘,24
36,337891,love小唧love,舰长,212,泉塘,24
37,305245439,逐影笔落,舰长,140,泉塘,24
38,44097,Lycerisious_夕,舰长,121,泉塘,24
39,44987344,初见Yui,舰长,207,泉塘,24
40,23053482,祖皇临古今,舰长,194,泉塘,24
41,252697075,修罗店主,舰长,152,泉塘,24
42,182322636,紫色的夏,舰长,164,泉塘,24
43,295541604,樱井小汐,舰长,194,泉塘,24
44,8167154,炉石酒馆丶米乐,舰长,148,泉塘,24
45,1033953289,鸿儒之赋,舰长,159,泉塘,24
46,160803875,三箱辣条压压惊,舰长,208,泉塘,24
47,7220745,Juicefff,舰长,95,泉塘,24
48,14430066,哀伤だよ,舰长,92,泉塘,24
49,114035992,M冯リヒトホフェン,舰长,169,泉塘,24
